trackid,track_name,composer,seconds,duracion,bytes,unitprice,albumid,album_title,artistid,artist_name,genreid,genre_name,mediatypeid,mediatype_name,last_update
501,Grito De Alerta,Gonzaga Jr.,202,03:22,6539422,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.064162+00
502,Não Dá Mais Pra Segurar (Explode Coração),,219,03:39,7083012,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.06524+00
503,Começaria Tudo Outra Vez,,196,03:16,6473395,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.066329+00
504,O Que É O Que É ?,,259,04:19,8650647,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.067385+00
505,Sangrando,Gonzaga Jr/Gonzaguinha,169,02:49,5494406,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.068431+00
506,"Diga Lá, Coração",,255,04:15,8280636,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.069552+00
507,Lindo Lago Do Amor,Gonzaga Jr.,249,04:09,8353191,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.071712+00
508,Eu Apenas Queria Que Voçê Soubesse,,155,02:35,5130056,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.07329+00
509,Com A Perna No Mundo,Gonzaga Jr.,227,03:47,7747108,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.075526+00
510,E Vamos À Luta,,222,03:42,7585112,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.077062+00
511,Um Homem Também Chora (Guerreiro Menino),,207,03:27,6854219,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.078147+00
512,Comportamento Geral,Gonzaga Jr,181,03:01,5997444,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.079209+00
513,Ponto De Interrogação,,180,03:00,5946265,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.080242+00
514,"Espere Por Mim, Morena",Gonzaguinha,207,03:27,6796523,0.99,41,Meus Momentos,56,Gonzaguinha,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.081272+00
515,Meia-Lua Inteira,,222,03:42,7466288,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.082289+00
516,Voce e Linda,,242,04:02,8050268,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.083323+00
517,Um Indio,,195,03:15,6453213,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.08437+00
518,Podres Poderes,,259,04:19,8622495,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.085387+00
519,Voce Nao Entende Nada - Cotidiano,,421,07:01,13885612,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.087401+00
520,O Estrangeiro,,374,06:14,12472890,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.089123+00
521,Menino Do Rio,,147,02:27,4862277,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.090385+00
522,Qualquer Coisa,,193,03:13,6372433,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.09173+00
523,Sampa,,185,03:05,6151831,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.092851+00
524,Queixa,,299,04:59,9953962,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.09391+00
525,O Leaozinho,,184,03:04,6098150,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.094966+00
526,Fora Da Ordem,,354,05:54,11746781,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.096001+00
527,Terra,,401,06:41,13224055,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.097031+00
528,"Alegria, Alegria",,169,02:49,5497025,0.99,23,Minha Historia,17,Chico Buarque,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.098058+00
529,Balada Do Louco,Arnaldo Baptista - Rita Lee,241,04:01,7852328,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.099082+00
530,Ando Meio Desligado,Arnaldo Baptista - Rita Lee -  Sérgio Dias,287,04:47,9484504,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.100111+00
531,Top Top,Os Mutantes - Arnolpho Lima Filho,146,02:26,4875374,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.101124+00
532,Baby,Caetano Veloso,177,02:57,5798202,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.103326+00
533,A E O Z,Mutantes,518,08:38,16873005,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.104524+00
534,Panis Et Circenses,Caetano Veloso - Gilberto Gil,125,02:05,4069688,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.105754+00
535,Chão De Estrelas,Orestes Barbosa-Sílvio Caldas,284,04:44,9433620,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.107713+00
536,Vida De Cachorro,Rita Lee - Arnaldo Baptista - Sérgio Baptista,195,03:15,6411149,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.108918+00
537,Bat Macumba,Gilberto Gil - Caetano Veloso,187,03:07,6295223,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.109973+00
538,Desculpe Babe,Arnaldo Baptista - Rita Lee,170,02:50,5637959,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.11104+00
539,Rita Lee,Arnaldo Baptista/Rita Lee/Sérgio Dias,189,03:09,6270503,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.11211+00
540,"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",Arnaldo Baptista - Rita Lee - Arnolpho Lima Filho,222,03:42,7346254,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.113166+00
541,Banho De Lua,B. de Filippi - F. Migliaci - Versão: Fred Jorge,221,03:41,7232123,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.11421+00
542,Meu Refrigerador Não Funciona,Arnaldo Baptista - Rita Lee - Sérgio Dias,382,06:22,12495906,0.99,42,Minha História,57,Os Mutantes,4,Alternative & Punk,1,MPEG audio file,2023-01-04 12:05:35.115284+00
543,Burn,Coverdale/Lord/Paice,453,07:33,14775708,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.116392+00
544,Stormbringer,Coverdale,277,04:37,9050022,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.118622+00
545,Gypsy,Coverdale/Hughes/Lord/Paice,339,05:39,11046952,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.119841+00
546,Lady Double Dealer,Coverdale,233,03:53,7608759,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.12095+00
547,Mistreated,Coverdale,758,12:38,24596235,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.122098+00
548,Smoke On The Water,Gillan/Glover/Lord/Paice,618,10:18,20103125,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.123887+00
549,You Fool No One,Coverdale/Lord/Paice,804,13:24,26369966,0.99,43,MK III The Final Concerts [Disc 1],58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.125512+00
550,Custard Pie,Jimmy Page/Robert Plant,253,04:13,8348257,0.99,44,Physical Graffiti [Disc 1],22,Led Zeppelin,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.126637+00
551,The Rover,Jimmy Page/Robert Plant,337,05:37,11011286,0.99,44,Physical Graffiti [Disc 1],22,Led Zeppelin,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.127722+00
552,In My Time Of Dying,John Bonham/John Paul Jones,666,11:06,21676727,0.99,44,Physical Graffiti [Disc 1],22,Led Zeppelin,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.128778+00
553,Houses Of The Holy,Jimmy Page/Robert Plant,242,04:02,7972503,0.99,44,Physical Graffiti [Disc 1],22,Led Zeppelin,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.12982+00
554,Trampled Under Foot,John Paul Jones,336,05:36,11154468,0.99,44,Physical Graffiti [Disc 1],22,Led Zeppelin,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.130862+00
555,Kashmir,John Bonham,508,08:28,16686580,0.99,44,Physical Graffiti [Disc 1],22,Led Zeppelin,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.131876+00
556,Imperatriz,Guga/Marquinho Lessa/Tuninho Professor,339,05:39,11348710,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.134005+00
557,Beija-Flor,Caruso/Cleber/Deo/Osmar,327,05:27,10991159,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.135258+00
558,Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,344,05:44,11484362,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.136701+00
559,Mocidade,"Domenil/J. Brito/Joaozinho/Rap, Marcelo Do",261,04:21,8817757,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.137979+00
560,Unidos Da Tijuca,"Douglas/Neves, Vicente Das/Silva, Gilmar L./Toninho Gentil/Wantuir",338,05:38,11440689,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.139307+00
561,Salgueiro,"Augusto/Craig Negoescu/Rocco Filho/Saara, Ze Carlos Da",305,05:05,10294741,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.140957+00
562,Mangueira,Bizuca/Clóvis Pê/Gilson Bernini/Marelo D'Aguia,298,04:58,9999506,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.142428+00
563,União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",330,05:30,11100945,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.143599+00
564,Grande Rio,Carlos Santos/Ciro/Claudio Russo/Zé Luiz,307,05:07,10251428,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.144693+00
565,Portela,Flavio Bororo/Paulo Apparicio/Wagner Alves/Zeca Sereno,319,05:19,10712216,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.145722+00
566,Caprichosos,Gule/Jorge 101/Lequinho/Luiz Piao,351,05:51,11870956,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.146753+00
567,Tradição,Adalto Magalha/Lourenco,269,04:29,9114880,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.147785+00
568,Império Serrano,Arlindo Cruz/Carlos Sena/Elmo Caetano/Mauricao,334,05:34,11161196,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.15033+00
569,Tuiuti,"Claudio Martins/David Lima/Kleber Rodrigues/Livre, Cesare Som",259,04:19,8749492,0.99,45,Sambas De Enredo 2001,21,Various Artists,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.151539+00
570,(Da Le) Yaleo,Santana,353,05:53,11769507,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.152657+00
571,Love Of My Life,Carlos Santana & Dave Matthews,347,05:47,11634337,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.15371+00
572,Put Your Lights On,E. Shrody,285,04:45,9394769,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.154785+00
573,Africa Bamba,"I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo",282,04:42,9492487,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.156278+00
574,Smooth,M. Itaal Shur & Rob Thomas,298,04:58,9867455,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.176271+00
575,Do You Like The Way,L. Hill,354,05:54,11741062,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.178022+00
576,Maria Maria,"W. Jean, J. Duplessis, Carlos Santana, K. Perazzo & R. Rekow",262,04:22,8664601,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.179742+00
577,Migra,"R. Taha, Carlos Santana & T. Lindsay",329,05:29,10963305,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.181035+00
578,Corazon Espinado,F. Olivera,276,04:36,9206802,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.182487+00
579,Wishing It Was,"Eale-Eye Cherry, M. Simpson, J. King & M. Nishita",292,04:52,9771348,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.183647+00
580,El Farol,Carlos Santana & KC Porter,291,04:51,9599353,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.184739+00
581,Primavera,KC Porter & JB Eckl,378,06:18,12504234,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.185802+00
582,The Calling,Carlos Santana & C. Thompson,747,12:27,24703884,0.99,46,Supernatural,59,Santana,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.186934+00
583,Solução,,247,04:07,8100449,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.188027+00
584,Manuel,,230,03:50,7677671,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.189344+00
585,Entre E Ouça,,286,04:46,9391004,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.191222+00
586,Um Contrato Com Deus,,202,03:22,6636465,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.193379+00
587,Um Jantar Pra Dois,,244,04:04,8021589,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.19454+00
588,Vamos Dançar,,226,03:46,7617432,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.196865+00
589,Um Love,,181,03:01,6095524,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.198358+00
590,Seis Da Tarde,,238,03:58,7935898,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.199502+00
591,Baixo Rio,,198,03:18,6521676,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.200572+00
592,Sombras Do Meu Destino,,280,04:40,9161539,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.201619+00
593,Do You Have Other Loves?,,295,04:55,9604273,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.202691+00
594,Agora Que O Dia Acordou,,323,05:23,10572752,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.203882+00
595,Já!!!,,217,03:37,7103608,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.204924+00
596,A Rua,,238,03:58,7930264,0.99,47,The Best of Ed Motta,37,Ed Motta,7,Latin,1,MPEG audio file,2023-01-04 12:05:35.207206+00
597,Now's The Time,Miles Davis,197,03:17,6358868,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.209484+00
598,Jeru,Miles Davis,193,03:13,6222536,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.212028+00
599,Compulsion,Miles Davis,345,05:45,11254474,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.213245+00
600,Tempus Fugit,Miles Davis,231,03:51,7548434,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.215111+00
601,Walkin',Miles Davis,807,13:27,26411634,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.216559+00
602,'Round Midnight,Miles Davis,357,05:57,11590284,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.217757+00
603,Bye Bye Blackbird,Miles Davis,476,07:56,15549224,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.21892+00
604,New Rhumba,Miles Davis,277,04:37,9018024,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.220376+00
605,Generique,Miles Davis,168,02:48,5437017,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.221626+00
606,Summertime,Miles Davis,200,03:20,6461370,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.22367+00
607,So What,Miles Davis,564,09:24,18360449,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.226058+00
608,The Pan Piper,Miles Davis,233,03:53,7593713,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.22816+00
609,Someday My Prince Will Come,Miles Davis,544,09:04,17890773,0.99,48,The Essential Miles Davis [Disc 1],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.22935+00
610,My Funny Valentine (Live),Miles Davis,907,15:07,29416781,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.230987+00
611,E.S.P.,Miles Davis,330,05:30,11079866,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.232189+00
612,Nefertiti,Miles Davis,473,07:53,15478450,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.233279+00
613,Petits Machins (Little Stuff),Miles Davis,487,08:07,16131272,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.234334+00
614,Miles Runs The Voodoo Down,Miles Davis,843,14:03,27967919,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.235384+00
615,Little Church (Live),Miles Davis,196,03:16,6273225,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.236495+00
616,Black Satin,Miles Davis,316,05:16,10529483,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.237555+00
617,Jean Pierre (Live),Miles Davis,243,04:03,7955114,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.23967+00
618,Time After Time,Miles Davis,220,03:40,7292197,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.243925+00
619,Portia,Miles Davis,378,06:18,12520126,0.99,49,The Essential Miles Davis [Disc 2],68,Miles Davis,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.245642+00
620,Space Truckin',Blackmore/Gillan/Glover/Lord/Paice,1196,19:56,39267613,0.99,50,The Final Concerts (Disc 2),58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.247646+00
621,Going Down / Highway Star,Gillan/Glover/Lord/Nix - Blackmore/Paice,913,15:13,29846063,0.99,50,The Final Concerts (Disc 2),58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.248926+00
622,Mistreated (Alternate Version),Blackmore/Coverdale,854,14:14,27775442,0.99,50,The Final Concerts (Disc 2),58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.250359+00
623,You Fool No One (Alternate Version),Blackmore/Coverdale/Lord/Paice,763,12:43,24887209,0.99,50,The Final Concerts (Disc 2),58,Deep Purple,1,Rock,1,MPEG audio file,2023-01-04 12:05:35.251445+00
624,Jeepers Creepers,,185,03:05,5991903,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.252503+00
625,Blue Rythm Fantasy,,348,05:48,11204006,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.253635+00
626,Drum Boogie,,191,03:11,6185636,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.27081+00
627,Let Me Off Uptown,,187,03:07,6034685,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.2733+00
628,Leave Us Leap,,182,03:02,5898810,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.275849+00
629,Opus No.1,,179,02:59,5846041,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.277432+00
630,Boogie Blues,,204,03:24,6603153,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.278508+00
631,How High The Moon,,201,03:21,6529487,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.283308+00
632,Disc Jockey Jump,,193,03:13,6260820,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.287223+00
633,Up An' Atom,,179,02:59,5822645,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.290505+00
634,Bop Boogie,,189,03:09,6093124,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.292828+00
635,Lemon Drop,,194,03:14,6287531,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.294555+00
636,Coronation Drop,,176,02:56,5899898,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.297554+00
637,Overtime,,163,02:43,5432236,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.298955+00
638,Imagination,,289,04:49,9444385,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.302199+00
639,Don't Take Your Love From Me,,282,04:42,9244238,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.304832+00
640,Midget,,217,03:37,7257663,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.310358+00
641,I'm Coming Virginia,,280,04:40,9209827,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.314981+00
642,Payin' Them Dues Blues,,198,03:18,6536918,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.317959+00
643,Jungle Drums,,199,03:19,6546063,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.336753+00
644,Showcase,,201,03:21,6697510,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.339054+00
645,Swedish Schnapps,,191,03:11,6359750,0.99,51,Up An' Atom,69,Gene Krupa,2,Jazz,1,MPEG audio file,2023-01-04 12:05:35.343954+00
646,Samba Da Bênção,,409,06:49,13490008,0.99,52,Vinícius De Moraes - Sem Limite,70,Toquinho & Vinícius,11,Bossa Nova,1,MPEG audio file,2023-01-04 12:05:35.346723+00
647,Pot-Pourri N.º 4,,392,06:32,13125975,0.99,52,Vinícius De Moraes - Sem Limite,70,Toquinho & Vinícius,11,Bossa Nova,1,MPEG audio file,2023-01-04 12:05:35.348308+00
648,Onde Anda Você,,168,02:48,5550356,0.99,52,Vinícius De Moraes - Sem Limite,70,Toquinho & Vinícius,11,Bossa Nova,1,MPEG audio file,2023-01-04 12:05:35.350013+00
649,Samba Da Volta,,170,02:50,5676090,0.99,52,Vinícius De Moraes - Sem Limite,70,Toquinho & Vinícius,11,Bossa Nova,1,MPEG audio file,2023-01-04 12:05:35.351618+00
650,Canto De Ossanha,,204,03:24,6771624,0.99,52,Vinícius De Moraes - Sem Limite,70,Toquinho & Vinícius,11,Bossa Nova,1,MPEG audio file,2023-01-04 12:05:35.35295+00
651,Pot-Pourri N.º 5,,219,03:39,7117769,0.99,52,Vinícius De Moraes - Sem Limite,70,Toquinho & Vinícius,11,Bossa Nova,1,MPEG audio file,2023-01-04 12:05:35.354055+00
