invoicelineid,invoiceid,trackid,unitprice,quantity,line_total,last_update
2797,583,2441,0.99,1,0.99,2023-01-04 12:05:48.77513+00
2798,584,156,0.99,1,0.99,2023-01-04 12:05:48.776912+00
2799,584,2227,0.99,1,0.99,2023-01-04 12:05:48.778125+00
2800,585,1924,0.99,1,0.99,2023-01-04 12:05:48.779339+00
2801,585,2454,0.99,1,0.99,2023-01-04 12:05:48.780507+00
2802,585,1208,0.99,1,0.99,2023-01-04 12:05:48.781767+00
2803,585,1763,0.99,1,0.99,2023-01-04 12:05:48.78296+00
2804,586,621,0.99,1,0.99,2023-01-04 12:05:48.784092+00
2805,586,2009,0.99,1,0.99,2023-01-04 12:05:48.785291+00
2806,586,530,0.99,1,0.99,2023-01-04 12:05:48.786453+00
2807,587,890,0.99,1,0.99,2023-01-04 12:05:48.787409+00
2808,587,984,0.99,1,0.99,2023-01-04 12:05:48.789732+00
2809,587,537,0.99,1,0.99,2023-01-04 12:05:48.791365+00
2810,588,1009,0.99,1,0.99,2023-01-04 12:05:48.792701+00
2811,588,2415,0.99,1,0.99,2023-01-04 12:05:48.794778+00
2812,588,779,0.99,1,0.99,2023-01-04 12:05:48.796952+00
2813,588,2728,0.99,1,0.99,2023-01-04 12:05:48.798537+00
2814,588,173,0.99,1,0.99,2023-01-04 12:05:48.800486+00
2815,589,798,0.99,1,0.99,2023-01-04 12:05:48.80159+00
2816,589,2461,0.99,1,0.99,2023-01-04 12:05:48.802653+00
2817,590,128,0.99,1,0.99,2023-01-04 12:05:48.805114+00
2818,590,2291,0.99,1,0.99,2023-01-04 12:05:48.806289+00
2819,590,1385,0.99,1,0.99,2023-01-04 12:05:48.807394+00
2820,590,50,0.99,1,0.99,2023-01-04 12:05:48.808323+00
2821,591,1813,0.99,1,0.99,2023-01-04 12:05:48.809618+00
2822,591,40,0.99,1,0.99,2023-01-04 12:05:48.811226+00
2823,591,1296,0.99,1,0.99,2023-01-04 12:05:48.812391+00
2824,591,1776,0.99,1,0.99,2023-01-04 12:05:48.813483+00
2825,591,695,0.99,1,0.99,2023-01-04 12:05:48.81461+00
2826,591,107,0.99,1,0.99,2023-01-04 12:05:48.815734+00
2827,592,1079,0.99,1,0.99,2023-01-04 12:05:48.816893+00
2828,592,2352,0.99,1,0.99,2023-01-04 12:05:48.818106+00
2829,592,869,0.99,1,0.99,2023-01-04 12:05:48.820971+00
2830,592,504,0.99,1,0.99,2023-01-04 12:05:48.822135+00
2831,592,197,0.99,1,0.99,2023-01-04 12:05:48.823419+00
2832,592,2053,0.99,1,0.99,2023-01-04 12:05:48.82523+00
2833,592,1747,0.99,1,0.99,2023-01-04 12:05:48.828386+00
2834,593,2747,0.99,1,0.99,2023-01-04 12:05:48.830212+00
2835,593,692,0.99,1,0.99,2023-01-04 12:05:48.831491+00
2836,593,419,0.99,1,0.99,2023-01-04 12:05:48.833518+00
2837,594,494,0.99,1,0.99,2023-01-04 12:05:48.835581+00
2838,594,166,0.99,1,0.99,2023-01-04 12:05:48.837219+00
2839,594,1902,0.99,1,0.99,2023-01-04 12:05:48.838557+00
2840,595,1537,0.99,1,0.99,2023-01-04 12:05:48.840037+00
2841,595,2789,0.99,1,0.99,2023-01-04 12:05:48.841252+00
2842,595,2580,0.99,1,0.99,2023-01-04 12:05:48.84237+00
2843,595,61,0.99,1,0.99,2023-01-04 12:05:48.847451+00
2844,596,1704,0.99,1,0.99,2023-01-04 12:05:48.850123+00
2845,596,2164,0.99,1,0.99,2023-01-04 12:05:48.851108+00
2846,596,2188,0.99,1,0.99,2023-01-04 12:05:48.852239+00
2847,597,2207,0.99,1,0.99,2023-01-04 12:05:48.853773+00
2848,597,2157,0.99,1,0.99,2023-01-04 12:05:48.855387+00
2849,597,533,0.99,1,0.99,2023-01-04 12:05:48.85705+00
2850,597,42,0.99,1,0.99,2023-01-04 12:05:48.87157+00
2851,598,1699,0.99,1,0.99,2023-01-04 12:05:48.873369+00
2852,598,1302,0.99,1,0.99,2023-01-04 12:05:48.880076+00
2853,598,956,0.99,1,0.99,2023-01-04 12:05:48.888418+00
2854,598,2814,0.99,1,0.99,2023-01-04 12:05:48.889447+00
2855,598,1122,0.99,1,0.99,2023-01-04 12:05:48.890436+00
2856,599,1070,0.99,1,0.99,2023-01-04 12:05:48.891517+00
2857,600,2526,0.99,1,0.99,2023-01-04 12:05:48.892509+00
2858,600,1287,0.99,1,0.99,2023-01-04 12:05:48.895644+00
2859,600,1366,0.99,1,0.99,2023-01-04 12:05:48.896711+00
2860,600,2670,0.99,1,0.99,2023-01-04 12:05:48.89776+00
2861,600,478,0.99,1,0.99,2023-01-04 12:05:48.898958+00
2862,601,1725,0.99,1,0.99,2023-01-04 12:05:48.900017+00
2863,601,1595,0.99,1,0.99,2023-01-04 12:05:48.901695+00
2864,601,1383,0.99,1,0.99,2023-01-04 12:05:48.902821+00
2865,601,1781,0.99,1,0.99,2023-01-04 12:05:48.90415+00
2866,602,1805,0.99,1,0.99,2023-01-04 12:05:48.90526+00
2867,602,949,0.99,1,0.99,2023-01-04 12:05:48.906231+00
2868,602,2933,0.99,1,0.99,2023-01-04 12:05:48.907238+00
2869,602,1899,0.99,1,0.99,2023-01-04 12:05:48.908322+00
2870,602,1374,0.99,1,0.99,2023-01-04 12:05:48.912012+00
2871,603,299,0.99,1,0.99,2023-01-04 12:05:48.91317+00
2872,603,1500,0.99,1,0.99,2023-01-04 12:05:48.914416+00
2873,603,2456,0.99,1,0.99,2023-01-04 12:05:48.915648+00
2874,603,1867,0.99,1,0.99,2023-01-04 12:05:48.916641+00
2875,604,2217,0.99,1,0.99,2023-01-04 12:05:48.917681+00
2876,604,70,0.99,1,0.99,2023-01-04 12:05:48.918673+00
2877,604,1767,0.99,1,0.99,2023-01-04 12:05:48.919572+00
2878,605,729,0.99,1,0.99,2023-01-04 12:05:48.920344+00
2879,605,1064,0.99,1,0.99,2023-01-04 12:05:48.92106+00
2880,605,1991,0.99,1,0.99,2023-01-04 12:05:48.921752+00
2881,605,608,0.99,1,0.99,2023-01-04 12:05:48.922456+00
2882,605,2742,0.99,1,0.99,2023-01-04 12:05:48.923163+00
2883,605,684,0.99,1,0.99,2023-01-04 12:05:48.923854+00
2884,606,2566,0.99,1,0.99,2023-01-04 12:05:48.924543+00
2885,606,2569,0.99,1,0.99,2023-01-04 12:05:48.925585+00
2886,606,1529,0.99,1,0.99,2023-01-04 12:05:48.929624+00
2887,606,2633,0.99,1,0.99,2023-01-04 12:05:48.930798+00
2888,606,2249,0.99,1,0.99,2023-01-04 12:05:48.931744+00
2889,607,668,0.99,1,0.99,2023-01-04 12:05:48.932689+00
2890,607,2574,0.99,1,0.99,2023-01-04 12:05:48.933547+00
2891,607,354,0.99,1,0.99,2023-01-04 12:05:48.934544+00
2892,607,178,0.99,1,0.99,2023-01-04 12:05:48.935549+00
2893,608,2164,0.99,1,0.99,2023-01-04 12:05:48.936643+00
2894,608,2000,0.99,1,0.99,2023-01-04 12:05:48.937915+00
2895,608,2934,0.99,1,0.99,2023-01-04 12:05:48.939074+00
2896,609,1662,0.99,1,0.99,2023-01-04 12:05:48.940283+00
2897,609,2942,0.99,1,0.99,2023-01-04 12:05:48.941776+00
2898,609,2736,0.99,1,0.99,2023-01-04 12:05:48.944231+00
2899,609,2471,0.99,1,0.99,2023-01-04 12:05:48.946913+00
2900,610,244,0.99,1,0.99,2023-01-04 12:05:48.94823+00
2901,610,240,0.99,1,0.99,2023-01-04 12:05:48.949484+00
2902,610,2940,0.99,1,0.99,2023-01-04 12:05:48.95073+00
2903,610,1616,0.99,1,0.99,2023-01-04 12:05:48.951925+00
2904,611,1704,0.99,1,0.99,2023-01-04 12:05:48.953024+00
2905,611,1524,0.99,1,0.99,2023-01-04 12:05:48.953947+00
2906,611,1316,0.99,1,0.99,2023-01-04 12:05:48.954852+00
2907,611,1990,0.99,1,0.99,2023-01-04 12:05:48.956287+00
2908,612,2020,0.99,1,0.99,2023-01-04 12:05:48.957966+00
2909,613,163,0.99,1,0.99,2023-01-04 12:05:48.958903+00
2910,613,1411,0.99,1,0.99,2023-01-04 12:05:48.960652+00
2911,614,2207,0.99,1,0.99,2023-01-04 12:05:48.962235+00
2912,614,886,0.99,1,0.99,2023-01-04 12:05:48.9633+00
2913,615,1621,0.99,1,0.99,2023-01-04 12:05:48.964401+00
2914,616,115,0.99,1,0.99,2023-01-04 12:05:48.966955+00
2915,617,861,0.99,1,0.99,2023-01-04 12:05:48.968106+00
2916,617,2999,0.99,1,0.99,2023-01-04 12:05:48.969142+00
2917,617,2259,0.99,1,0.99,2023-01-04 12:05:48.970168+00
2918,618,1195,0.99,1,0.99,2023-01-04 12:05:48.971135+00
2919,618,1785,0.99,1,0.99,2023-01-04 12:05:48.972132+00
2920,619,402,0.99,1,0.99,2023-01-04 12:05:48.97419+00
2921,619,2558,0.99,1,0.99,2023-01-04 12:05:48.975193+00
2922,620,1871,0.99,1,0.99,2023-01-04 12:05:48.976533+00
2923,620,405,0.99,1,0.99,2023-01-04 12:05:48.978042+00
2924,621,1800,0.99,1,0.99,2023-01-04 12:05:48.978898+00
2925,621,2033,0.99,1,0.99,2023-01-04 12:05:48.97961+00
2926,621,2080,0.99,1,0.99,2023-01-04 12:05:48.980318+00
2927,622,275,0.99,1,0.99,2023-01-04 12:05:48.981015+00
2928,622,2459,0.99,1,0.99,2023-01-04 12:05:48.981705+00
2929,622,201,0.99,1,0.99,2023-01-04 12:05:48.98246+00
2930,623,668,0.99,1,0.99,2023-01-04 12:05:48.983356+00
2931,623,2963,0.99,1,0.99,2023-01-04 12:05:48.984283+00
2932,623,11,0.99,1,0.99,2023-01-04 12:05:48.985176+00
2933,623,431,0.99,1,0.99,2023-01-04 12:05:48.98604+00
2934,624,2151,0.99,1,0.99,2023-01-04 12:05:48.986938+00
2935,624,2016,0.99,1,0.99,2023-01-04 12:05:48.988448+00
2936,624,1726,0.99,1,0.99,2023-01-04 12:05:48.991865+00
2937,625,663,0.99,1,0.99,2023-01-04 12:05:48.993761+00
2938,625,2488,0.99,1,0.99,2023-01-04 12:05:48.994743+00
2939,625,2563,0.99,1,0.99,2023-01-04 12:05:48.995549+00
2940,625,877,0.99,1,0.99,2023-01-04 12:05:48.996266+00
2941,626,412,0.99,1,0.99,2023-01-04 12:05:48.996954+00
2942,626,917,0.99,1,0.99,2023-01-04 12:05:48.997639+00
2943,627,1010,0.99,1,0.99,2023-01-04 12:05:48.99831+00
2944,627,2667,0.99,1,0.99,2023-01-04 12:05:48.998985+00
2945,627,1955,0.99,1,0.99,2023-01-04 12:05:48.999657+00
2946,628,1862,0.99,1,0.99,2023-01-04 12:05:49.000492+00
2947,628,2210,0.99,1,0.99,2023-01-04 12:05:49.001193+00
2948,628,1079,0.99,1,0.99,2023-01-04 12:05:49.001925+00
2949,629,2888,1.99,1,1.99,2023-01-04 12:05:49.002677+00
2950,629,1439,0.99,1,0.99,2023-01-04 12:05:49.003687+00
2951,629,1470,0.99,1,0.99,2023-01-04 12:05:49.004685+00
2952,629,2249,0.99,1,0.99,2023-01-04 12:05:49.005541+00
2953,629,1,0.99,1,0.99,2023-01-04 12:05:49.006346+00
2954,630,1628,0.99,1,0.99,2023-01-04 12:05:49.007296+00
2955,630,722,0.99,1,0.99,2023-01-04 12:05:49.008194+00
2956,630,979,0.99,1,0.99,2023-01-04 12:05:49.009483+00
2957,631,108,0.99,1,0.99,2023-01-04 12:05:49.014597+00
2958,631,454,0.99,1,0.99,2023-01-04 12:05:49.015493+00
2959,632,2454,0.99,1,0.99,2023-01-04 12:05:49.016361+00
2960,632,1532,0.99,1,0.99,2023-01-04 12:05:49.017097+00
2961,632,2573,0.99,1,0.99,2023-01-04 12:05:49.017723+00
2962,633,1127,0.99,1,0.99,2023-01-04 12:05:49.01833+00
2963,633,1673,0.99,1,0.99,2023-01-04 12:05:49.018926+00
2964,633,651,0.99,1,0.99,2023-01-04 12:05:49.019512+00
2965,633,36,0.99,1,0.99,2023-01-04 12:05:49.020132+00
2966,634,1579,0.99,1,0.99,2023-01-04 12:05:49.020982+00
2967,634,1378,0.99,1,0.99,2023-01-04 12:05:49.021811+00
2968,634,2456,0.99,1,0.99,2023-01-04 12:05:49.022462+00
2969,635,1209,0.99,1,0.99,2023-01-04 12:05:49.023067+00
2970,636,2777,0.99,1,0.99,2023-01-04 12:05:49.023667+00
2971,636,1118,0.99,1,0.99,2023-01-04 12:05:49.026165+00
2972,636,454,0.99,1,0.99,2023-01-04 12:05:49.027231+00
2973,637,1658,0.99,1,0.99,2023-01-04 12:05:49.028095+00
2974,637,869,0.99,1,0.99,2023-01-04 12:05:49.028719+00
2975,637,2965,0.99,1,0.99,2023-01-04 12:05:49.029323+00
2976,637,2035,0.99,1,0.99,2023-01-04 12:05:49.029907+00
2977,638,1395,0.99,1,0.99,2023-01-04 12:05:49.03049+00
2978,639,253,0.99,1,0.99,2023-01-04 12:05:49.031067+00
2979,639,956,0.99,1,0.99,2023-01-04 12:05:49.031645+00
2980,640,2144,0.99,1,0.99,2023-01-04 12:05:49.032216+00
2981,640,610,0.99,1,0.99,2023-01-04 12:05:49.032794+00
2982,640,2324,0.99,1,0.99,2023-01-04 12:05:49.033411+00
2983,641,1902,0.99,1,0.99,2023-01-04 12:05:49.033984+00
2984,642,720,0.99,1,0.99,2023-01-04 12:05:49.034575+00
2985,642,2496,0.99,1,0.99,2023-01-04 12:05:49.035152+00
2986,642,2327,0.99,1,0.99,2023-01-04 12:05:49.03572+00
2987,642,651,0.99,1,0.99,2023-01-04 12:05:49.036291+00
2988,643,1697,0.99,1,0.99,2023-01-04 12:05:49.036854+00
2989,643,888,0.99,1,0.99,2023-01-04 12:05:49.037423+00
2990,644,2579,0.99,1,0.99,2023-01-04 12:05:49.037992+00
2991,644,1717,0.99,1,0.99,2023-01-04 12:05:49.038571+00
2992,644,1927,0.99,1,0.99,2023-01-04 12:05:49.039147+00
2993,644,2798,0.99,1,0.99,2023-01-04 12:05:49.039735+00
2994,644,980,0.99,1,0.99,2023-01-04 12:05:49.04229+00
2995,645,506,0.99,1,0.99,2023-01-04 12:05:49.043402+00
2996,645,2141,0.99,1,0.99,2023-01-04 12:05:49.044153+00
2997,645,1518,0.99,1,0.99,2023-01-04 12:05:49.044884+00
2998,645,523,0.99,1,0.99,2023-01-04 12:05:49.045802+00
2999,646,2759,0.99,1,0.99,2023-01-04 12:05:49.047202+00
3000,646,483,0.99,1,0.99,2023-01-04 12:05:49.047996+00
3001,646,1542,0.99,1,0.99,2023-01-04 12:05:49.048611+00
3002,646,2568,0.99,1,0.99,2023-01-04 12:05:49.049204+00
3003,646,1581,0.99,1,0.99,2023-01-04 12:05:49.049847+00
3004,647,2741,0.99,1,0.99,2023-01-04 12:05:49.050432+00
3005,647,1679,0.99,1,0.99,2023-01-04 12:05:49.051006+00
3006,648,1404,0.99,1,0.99,2023-01-04 12:05:49.051586+00
3007,648,990,0.99,1,0.99,2023-01-04 12:05:49.052157+00
3008,648,1171,0.99,1,0.99,2023-01-04 12:05:49.052734+00
3009,648,818,0.99,1,0.99,2023-01-04 12:05:49.053307+00
3010,649,1933,0.99,1,0.99,2023-01-04 12:05:49.053883+00
3011,649,106,0.99,1,0.99,2023-01-04 12:05:49.054461+00
3012,649,1237,0.99,1,0.99,2023-01-04 12:05:49.05504+00
3013,649,1782,0.99,1,0.99,2023-01-04 12:05:49.056894+00
3014,649,1234,0.99,1,0.99,2023-01-04 12:05:49.057594+00
3015,650,1111,0.99,1,0.99,2023-01-04 12:05:49.05818+00
3016,650,1477,0.99,1,0.99,2023-01-04 12:05:49.058758+00
3017,650,2718,0.99,1,0.99,2023-01-04 12:05:49.05963+00
3018,650,1396,0.99,1,0.99,2023-01-04 12:05:49.060497+00
3019,650,1473,0.99,1,0.99,2023-01-04 12:05:49.06112+00
3020,651,412,0.99,1,0.99,2023-01-04 12:05:49.0617+00
3021,651,2023,0.99,1,0.99,2023-01-04 12:05:49.062394+00
3022,651,2976,0.99,1,0.99,2023-01-04 12:05:49.063017+00
3023,651,2214,0.99,1,0.99,2023-01-04 12:05:49.063604+00
3024,651,781,0.99,1,0.99,2023-01-04 12:05:49.064294+00
3025,652,473,0.99,1,0.99,2023-01-04 12:05:49.065011+00
3026,652,1523,0.99,1,0.99,2023-01-04 12:05:49.065902+00
3027,653,10,0.99,1,0.99,2023-01-04 12:05:49.066967+00
3028,653,933,0.99,1,0.99,2023-01-04 12:05:49.068235+00
3029,653,279,0.99,1,0.99,2023-01-04 12:05:49.069197+00
3030,654,663,0.99,1,0.99,2023-01-04 12:05:49.069996+00
3031,654,1313,0.99,1,0.99,2023-01-04 12:05:49.070627+00
3032,655,1683,0.99,1,0.99,2023-01-04 12:05:49.072894+00
3033,655,895,0.99,1,0.99,2023-01-04 12:05:49.073647+00
3034,655,641,0.99,1,0.99,2023-01-04 12:05:49.074357+00
3035,656,2466,0.99,1,0.99,2023-01-04 12:05:49.074969+00
3036,657,2737,0.99,1,0.99,2023-01-04 12:05:49.075569+00
3037,657,2572,0.99,1,0.99,2023-01-04 12:05:49.076492+00
3038,658,2156,0.99,1,0.99,2023-01-04 12:05:49.077398+00
3039,658,2542,0.99,1,0.99,2023-01-04 12:05:49.078041+00
3040,658,1333,0.99,1,0.99,2023-01-04 12:05:49.078632+00
3041,658,2324,0.99,1,0.99,2023-01-04 12:05:49.079232+00
3042,659,1306,0.99,1,0.99,2023-01-04 12:05:49.07981+00
3043,659,1688,0.99,1,0.99,2023-01-04 12:05:49.080525+00
3044,659,1108,0.99,1,0.99,2023-01-04 12:05:49.081564+00
3045,660,2308,0.99,1,0.99,2023-01-04 12:05:49.082746+00
3046,660,229,0.99,1,0.99,2023-01-04 12:05:49.083759+00
3047,660,1526,0.99,1,0.99,2023-01-04 12:05:49.084796+00
3048,660,457,0.99,1,0.99,2023-01-04 12:05:49.086107+00
3049,660,1907,0.99,1,0.99,2023-01-04 12:05:49.08884+00
3050,661,814,0.99,1,0.99,2023-01-04 12:05:49.089979+00
3051,661,1328,0.99,1,0.99,2023-01-04 12:05:49.090753+00
3052,662,2386,0.99,1,0.99,2023-01-04 12:05:49.091667+00
3053,662,1541,0.99,1,0.99,2023-01-04 12:05:49.093219+00
3054,662,334,0.99,1,0.99,2023-01-04 12:05:49.09459+00
3055,662,2901,1.99,1,1.99,2023-01-04 12:05:49.095636+00
3056,663,2772,0.99,1,0.99,2023-01-04 12:05:49.096613+00
3057,663,148,0.99,1,0.99,2023-01-04 12:05:49.097704+00
3058,663,492,0.99,1,0.99,2023-01-04 12:05:49.098828+00
3059,663,142,0.99,1,0.99,2023-01-04 12:05:49.099682+00
3060,663,1083,0.99,1,0.99,2023-01-04 12:05:49.100607+00
3061,664,182,0.99,1,0.99,2023-01-04 12:05:49.1016+00
3062,664,2120,0.99,1,0.99,2023-01-04 12:05:49.102447+00
3063,664,1491,0.99,1,0.99,2023-01-04 12:05:49.10334+00
3064,665,1241,0.99,1,0.99,2023-01-04 12:05:49.104111+00
3065,665,2510,0.99,1,0.99,2023-01-04 12:05:49.104744+00
3066,665,1729,0.99,1,0.99,2023-01-04 12:05:49.105448+00
3067,666,1296,0.99,1,0.99,2023-01-04 12:05:49.106217+00
3068,666,2594,0.99,1,0.99,2023-01-04 12:05:49.106877+00
3069,667,732,0.99,1,0.99,2023-01-04 12:05:49.107831+00
3070,667,47,0.99,1,0.99,2023-01-04 12:05:49.111268+00
3071,667,503,0.99,1,0.99,2023-01-04 12:05:49.112391+00
3072,667,1387,0.99,1,0.99,2023-01-04 12:05:49.113451+00
3073,668,1055,0.99,1,0.99,2023-01-04 12:05:49.114422+00
3074,668,1853,0.99,1,0.99,2023-01-04 12:05:49.11542+00
3075,668,1527,0.99,1,0.99,2023-01-04 12:05:49.116528+00
3076,669,1373,0.99,1,0.99,2023-01-04 12:05:49.117514+00
3077,669,1923,0.99,1,0.99,2023-01-04 12:05:49.118482+00
3078,670,1382,0.99,1,0.99,2023-01-04 12:05:49.119471+00
3079,670,865,0.99,1,0.99,2023-01-04 12:05:49.120217+00
3080,670,1872,0.99,1,0.99,2023-01-04 12:05:49.121032+00
3081,670,1181,0.99,1,0.99,2023-01-04 12:05:49.12184+00
3082,671,1397,0.99,1,0.99,2023-01-04 12:05:49.122707+00
3083,671,904,0.99,1,0.99,2023-01-04 12:05:49.123495+00
3084,671,2998,0.99,1,0.99,2023-01-04 12:05:49.12425+00
3085,671,2944,0.99,1,0.99,2023-01-04 12:05:49.1273+00
3086,672,335,0.99,1,0.99,2023-01-04 12:05:49.128467+00
3087,672,1654,0.99,1,0.99,2023-01-04 12:05:49.129635+00
3088,673,753,0.99,1,0.99,2023-01-04 12:05:49.130513+00
3089,673,580,0.99,1,0.99,2023-01-04 12:05:49.131399+00
3090,674,1748,0.99,1,0.99,2023-01-04 12:05:49.132186+00
3091,674,1970,0.99,1,0.99,2023-01-04 12:05:49.132988+00
3092,675,902,0.99,1,0.99,2023-01-04 12:05:49.133867+00
3093,675,2709,0.99,1,0.99,2023-01-04 12:05:49.134672+00
3094,675,2546,0.99,1,0.99,2023-01-04 12:05:49.135496+00
3095,676,50,0.99,1,0.99,2023-01-04 12:05:49.136256+00
3096,676,1602,0.99,1,0.99,2023-01-04 12:05:49.137213+00
3097,676,1331,0.99,1,0.99,2023-01-04 12:05:49.1382+00
3098,677,2781,0.99,1,0.99,2023-01-04 12:05:49.139066+00
3099,677,1698,0.99,1,0.99,2023-01-04 12:05:49.139954+00
3100,677,1805,0.99,1,0.99,2023-01-04 12:05:49.143698+00
3101,678,446,0.99,1,0.99,2023-01-04 12:05:49.144807+00
3102,678,1639,0.99,1,0.99,2023-01-04 12:05:49.145674+00
3103,678,510,0.99,1,0.99,2023-01-04 12:05:49.146521+00
3104,678,663,0.99,1,0.99,2023-01-04 12:05:49.147545+00
3105,679,1613,0.99,1,0.99,2023-01-04 12:05:49.148599+00
3106,679,2083,0.99,1,0.99,2023-01-04 12:05:49.149447+00
3107,679,1771,0.99,1,0.99,2023-01-04 12:05:49.150313+00
3108,679,53,0.99,1,0.99,2023-01-04 12:05:49.151233+00
3109,680,2612,0.99,1,0.99,2023-01-04 12:05:49.152019+00
3110,680,2970,0.99,1,0.99,2023-01-04 12:05:49.15289+00
3111,680,1946,0.99,1,0.99,2023-01-04 12:05:49.155995+00
3112,681,831,0.99,1,0.99,2023-01-04 12:05:49.157359+00
3113,682,2146,0.99,1,0.99,2023-01-04 12:05:49.16121+00
3114,682,1255,0.99,1,0.99,2023-01-04 12:05:49.162467+00
3115,682,2087,0.99,1,0.99,2023-01-04 12:05:49.16503+00
3116,682,1838,0.99,1,0.99,2023-01-04 12:05:49.166524+00
3117,682,1513,0.99,1,0.99,2023-01-04 12:05:49.169405+00
3118,683,2511,0.99,1,0.99,2023-01-04 12:05:49.170755+00
3119,683,259,0.99,1,0.99,2023-01-04 12:05:49.171862+00
3120,684,616,0.99,1,0.99,2023-01-04 12:05:49.173028+00
3121,684,728,0.99,1,0.99,2023-01-04 12:05:49.174828+00
3122,684,2505,0.99,1,0.99,2023-01-04 12:05:49.176424+00
3123,684,1791,0.99,1,0.99,2023-01-04 12:05:49.178151+00
3124,684,632,0.99,1,0.99,2023-01-04 12:05:49.179833+00
3125,684,715,0.99,1,0.99,2023-01-04 12:05:49.181127+00
3126,685,2825,1.99,1,1.99,2023-01-04 12:05:49.183361+00
3127,685,956,0.99,1,0.99,2023-01-04 12:05:49.184821+00
3128,685,558,0.99,1,0.99,2023-01-04 12:05:49.186227+00
3129,685,1159,0.99,1,0.99,2023-01-04 12:05:49.187673+00
3130,686,1925,0.99,1,0.99,2023-01-04 12:05:49.195841+00
3131,686,1437,0.99,1,0.99,2023-01-04 12:05:49.197062+00
3132,686,623,0.99,1,0.99,2023-01-04 12:05:49.198396+00
3133,687,814,0.99,1,0.99,2023-01-04 12:05:49.199722+00
3134,687,1317,0.99,1,0.99,2023-01-04 12:05:49.201012+00
3135,687,276,0.99,1,0.99,2023-01-04 12:05:49.202109+00
3136,688,1619,0.99,1,0.99,2023-01-04 12:05:49.203105+00
3137,688,613,0.99,1,0.99,2023-01-04 12:05:49.204143+00
3138,689,2794,0.99,1,0.99,2023-01-04 12:05:49.206974+00
3139,689,1856,0.99,1,0.99,2023-01-04 12:05:49.208078+00
3140,690,110,0.99,1,0.99,2023-01-04 12:05:49.209541+00
3141,690,1134,0.99,1,0.99,2023-01-04 12:05:49.211857+00
3142,691,2343,0.99,1,0.99,2023-01-04 12:05:49.213354+00
3143,691,1648,0.99,1,0.99,2023-01-04 12:05:49.214659+00
3144,691,2025,0.99,1,0.99,2023-01-04 12:05:49.215887+00
3145,692,1761,0.99,1,0.99,2023-01-04 12:05:49.217082+00
3146,692,286,0.99,1,0.99,2023-01-04 12:05:49.218159+00
3147,692,1567,0.99,1,0.99,2023-01-04 12:05:49.219266+00
3148,693,569,0.99,1,0.99,2023-01-04 12:05:49.220369+00
3149,693,2101,0.99,1,0.99,2023-01-04 12:05:49.222787+00
3150,693,1299,0.99,1,0.99,2023-01-04 12:05:49.223944+00
3151,693,2838,1.99,1,1.99,2023-01-04 12:05:49.225005+00
3152,694,817,0.99,1,0.99,2023-01-04 12:05:49.226417+00
3153,694,2169,0.99,1,0.99,2023-01-04 12:05:49.227705+00
3154,694,1266,0.99,1,0.99,2023-01-04 12:05:49.229247+00
3155,695,950,0.99,1,0.99,2023-01-04 12:05:49.230277+00
3156,695,859,0.99,1,0.99,2023-01-04 12:05:49.231207+00
3157,696,1954,0.99,1,0.99,2023-01-04 12:05:49.231988+00
3158,696,1372,0.99,1,0.99,2023-01-04 12:05:49.232741+00
3159,697,927,0.99,1,0.99,2023-01-04 12:05:49.233532+00
3160,697,2148,0.99,1,0.99,2023-01-04 12:05:49.234288+00
3161,697,2345,0.99,1,0.99,2023-01-04 12:05:49.234999+00
3162,697,2922,1.99,1,1.99,2023-01-04 12:05:49.235734+00
3163,698,1078,0.99,1,0.99,2023-01-04 12:05:49.236494+00
3164,698,768,0.99,1,0.99,2023-01-04 12:05:49.238947+00
3165,699,1564,0.99,1,0.99,2023-01-04 12:05:49.240084+00
3166,699,184,0.99,1,0.99,2023-01-04 12:05:49.241059+00
3167,700,315,0.99,1,0.99,2023-01-04 12:05:49.24183+00
3168,700,237,0.99,1,0.99,2023-01-04 12:05:49.246621+00
3169,700,808,0.99,1,0.99,2023-01-04 12:05:49.24776+00
3170,701,1233,0.99,1,0.99,2023-01-04 12:05:49.248643+00
3171,701,2467,0.99,1,0.99,2023-01-04 12:05:49.249611+00
3172,702,1398,0.99,1,0.99,2023-01-04 12:05:49.250644+00
3173,702,2436,0.99,1,0.99,2023-01-04 12:05:49.251762+00
3174,703,1116,0.99,1,0.99,2023-01-04 12:05:49.255057+00
3175,703,2784,0.99,1,0.99,2023-01-04 12:05:49.256042+00
3176,704,2000,0.99,1,0.99,2023-01-04 12:05:49.256842+00
3177,704,7,0.99,1,0.99,2023-01-04 12:05:49.257665+00
3178,705,673,0.99,1,0.99,2023-01-04 12:05:49.258516+00
3179,705,318,0.99,1,0.99,2023-01-04 12:05:49.263538+00
3180,705,2268,0.99,1,0.99,2023-01-04 12:05:49.264663+00
3181,706,2896,1.99,1,1.99,2023-01-04 12:05:49.265522+00
3182,706,2175,0.99,1,0.99,2023-01-04 12:05:49.266276+00
3183,706,1198,0.99,1,0.99,2023-01-04 12:05:49.267163+00
3184,706,2690,0.99,1,0.99,2023-01-04 12:05:49.268026+00
3185,706,1106,0.99,1,0.99,2023-01-04 12:05:49.270345+00
3186,706,797,0.99,1,0.99,2023-01-04 12:05:49.271516+00
3187,707,1353,0.99,1,0.99,2023-01-04 12:05:49.272555+00
